 ,Andong,Ansan-si,Anseong,Anyang-si,Asan,Beolgyo,Boryeong,Bucheon-si,Busan,Buyeo,Changnyeong,Changsu,Changwon,Cheonan,Cheongju-si,Cheongsong gun,Chinch'ŏn,Chinju,Chuncheon,Daegu,Daejeon,Eisen,Eisen,Gaigeturi,Ganghwa-gun,Gangneung,Gapyeong,Gijang,Gimcheon,Gongju,Goseong,Goyang-si,Gumi,Gunsan,Guri-si,Gwangju,Gwangju,Gyeongju,Gyeongsan-si,Haenam,Hanam,Hayang,Heunghae,Hongch’ŏn,Hongseong,Hwacheon,Hwado,Hwaseong-si,Hwasun,Hwawŏn,Icheon-si,Iksan,Imsil,Incheon,Jeju City,Jenzan,Jeongeup,Jeonju,Jinan-gun,Kimhae,Kimje,Kinzan,Koch'ang,Koesan,Kosong,Kunwi,Kurye,Kwangmyŏng,Kwangyang,Kyosai,Masan,Miryang,Mokpo,Muan,Mungyeong,Munsan,Naesŏ,Naju,Namyangju,Nangen,Neietsu,Nonsan,Okcheon,Osan,Pohang,Puan,Pubal,Pyeongchang,Sangju,Santyoku,Sejong,Seogwipo,Seonghwan,Seongnam-si,Seosan,Seoul,Sinan,Sinhyeon,Sintansin,Sokcho,Suncheon,Suwon,Taesal-li,Tangjin,Tonghae,T’aebaek,Uijeongbu-si,Ulsan,Ungsang,Wabu,Waegwan,Wanju,Wŏnju,Yanggu,Yangju,Yangp'yŏng,Yangsan,Yeoju,Yeongam,Yeongdong,Yeonggwang,Yeonil,Yeosu,Yesan,Yongsan-dong,Yŏnmu
Andong,,154.62,148.92,149.88,203.35,194.88,276.84,166.66,140.81,201.64,85.44,140.10,118.81,234.41,205.86,40.66,144.41,134.25,129.65,60.38,186.22,28.44,65.73,345.78,209.24,204.37,143.82,150.51,61.62,209.56,169.97,185.42,53.29,194.96,161.37,293.04,122.62,88.02,70.22,249.23,132.85,81.73,89.74,114.62,222.10,148.45,150.06,172.06,212.48,63.13,116.18,182.41,186.09,167.75,332.60,52.17,196.85,170.08,145.91,131.67,187.28,165.51,299.54,152.45,202.54,35.27,189.08,160.88,169.66,192.49,290.25,164.52,256.75,266.30,34.05,201.93,107.32,285.12,160.86,209.16,83.15,192.71,188.51,167.62,88.18,208.16,119.27,94.88,42.20,234.84,235.45,356.67,184.01,143.18,216.65,170.53,277.35,193.63,191.26,186.50,180.68,141.20,221.50,201.53,225.17,60.87,173.07,167.77,152.00,156.30,52.23,169.16,84.04,154.78,184.84,124.97,143.79,105.83,243.49,170.14,290.06,89.11,192.29,221.74,191.34,188.87
Ansan-si,153.77,,49.53,15.15,50.75,340.46,90.69,22.51,286.39,110.19,231.02,285.68,264.39,56.06,110.16,186.24,67.89,279.83,86.70,205.96,331.80,137.10,211.31,491.36,54.70,160.06,69.56,296.09,207.20,88.85,315.55,33.19,198.88,135.76,39.44,205.37,43.04,233.60,215.80,394.82,35.59,227.31,235.32,85.17,69.50,105.51,47.05,9.60,358.06,208.72,48.01,327.99,331.67,23.60,478.18,197.76,171.12,315.66,291.49,277.25,147.60,311.09,175.21,94.54,158.23,180.85,334.67,16.72,315.24,338.08,229.75,310.11,402.33,208.67,113.64,49.70,252.90,224.61,42.37,354.75,115.09,100.63,334.09,31.37,233.76,155.38,49.52,110.84,187.79,190.53,73.23,502.25,47.76,24.70,64.05,35.82,422.93,339.21,336.85,142.20,326.26,19.70,68.90,48.93,180.86,214.50,51.14,313.36,297.58,43.39,197.82,314.75,76.80,111.83,62.91,62.49,289.38,56.24,389.08,315.73,188.61,234.69,337.87,69.14,41.86,107.07
Anseong,142.69,47.21,,47.36,27.71,329.38,113.93,65.67,275.31,71.52,219.94,129.24,253.31,17.10,41.06,175.17,24.57,268.76,105.68,194.88,69.25,126.02,200.24,312.31,96.92,180.40,119.85,285.02,196.12,55.99,304.48,76.35,187.80,97.10,76.18,166.70,33.47,222.53,204.73,215.76,72.33,216.23,224.25,90.65,65.42,124.49,83.79,67.01,174.97,197.64,36.93,106.35,115.06,66.76,299.13,186.68,132.46,99.05,115.30,266.18,108.93,300.02,136.55,83.46,178.57,169.77,323.59,55.64,304.16,327.00,191.08,299.03,186.25,170.00,102.57,92.86,241.83,185.95,79.10,138.13,104.01,67.78,323.01,19.78,222.69,116.72,28.98,99.76,176.71,210.87,43.94,323.20,10.92,61.44,59.97,51.71,204.30,328.14,55.67,162.54,315.19,30.95,64.83,44.86,201.20,172.23,92.71,302.28,286.50,80.13,186.74,98.14,65.72,130.81,99.65,59.58,278.30,45.16,210.03,304.65,149.94,223.62,326.80,42.95,51.30,74.22
Anyang-si,154.20,14.97,45.53,,55.97,340.89,95.90,17.52,286.82,115.40,231.45,286.11,264.82,52.06,105.47,186.67,76.81,280.26,77.26,206.39,332.23,137.53,211.74,491.79,46.71,150.61,60.12,296.52,207.63,84.84,315.98,28.21,199.31,140.98,29.99,210.58,33.60,234.03,216.23,395.24,26.14,227.74,235.75,75.73,74.71,96.06,37.61,24.68,358.49,209.14,43.32,328.42,332.10,19.28,478.61,198.19,342.86,316.09,291.92,277.68,152.81,311.52,180.43,89.85,148.79,181.28,335.09,10.73,315.67,338.51,436.27,310.54,402.76,213.88,162.43,44.72,253.33,431.13,32.92,355.17,115.51,96.63,334.52,27.37,234.19,160.59,44.83,109.31,188.22,181.09,69.23,502.68,43.76,15.26,69.26,16.41,423.36,339.64,337.27,132.75,326.69,10.14,74.11,54.15,171.42,205.05,44.57,313.79,298.01,33.94,198.24,315.17,77.23,102.38,53.47,53.05,289.81,51.55,389.51,316.15,193.82,235.12,338.30,74.35,14.90,103.07
Asan,203.80,50.63,26.92,55.31,,222.56,96.32,62.66,226.88,53.91,281.05,111.62,314.42,11.96,36.28,236.27,30.19,159.22,126.86,255.99,51.64,187.13,261.34,294.70,94.85,200.22,109.72,236.58,257.23,38.38,181.45,73.35,248.91,79.49,79.60,149.09,83.20,283.63,265.83,198.15,75.74,277.34,285.35,125.33,26.11,145.66,87.21,43.56,157.35,258.75,83.42,88.74,97.45,63.75,281.52,247.79,114.84,81.44,97.69,217.75,91.32,140.22,118.94,129.95,198.39,230.88,137.13,56.88,196.52,203.98,173.47,250.60,168.64,152.39,212.03,89.86,302.93,168.33,82.52,120.52,165.11,50.17,163.22,35.62,283.79,99.10,84.93,158.91,237.82,230.69,24.72,305.59,13.53,64.86,37.85,75.98,186.69,205.11,45.50,182.35,151.85,42.77,45.67,26.89,221.02,254.66,91.30,253.85,238.07,83.55,247.84,80.53,126.83,151.99,103.07,102.65,229.87,91.64,192.42,144.85,132.33,284.72,164.37,15.50,79.63,56.61
Beolgyo,200.95,341.45,232.61,336.71,220.79,,181.76,353.49,127.27,175.59,113.10,124.27,103.39,216.35,190.03,208.10,244.05,69.27,316.48,142.26,170.40,215.27,191.92,154.23,396.07,391.20,330.65,136.97,202.92,195.59,82.06,372.25,169.93,154.69,348.20,101.49,309.46,237.47,176.22,57.68,319.68,184.33,226.01,301.45,201.14,335.29,336.89,358.90,39.26,134.96,303.01,153.61,75.63,354.58,141.05,189.12,127.91,94.03,115.29,118.14,140.00,149.69,107.98,339.28,389.37,166.81,39.48,347.71,22.06,104.59,98.70,150.99,65.20,74.74,222.03,388.76,92.33,93.57,347.69,57.13,269.98,211.85,172.69,354.45,224.45,130.47,306.11,281.71,210.52,421.67,217.39,165.11,224.10,330.02,214.71,357.36,85.80,105.72,175.44,373.34,16.52,328.03,235.67,388.37,412.00,261.48,359.90,154.24,138.46,343.13,156.66,93.11,270.87,341.61,371.67,311.80,130.26,292.66,51.94,154.32,98.51,225.38,28.79,213.10,378.17,218.29
Boryeong,284.83,91.05,112.08,95.74,100.26,181.93,,103.09,268.03,55.06,227.78,152.77,244.15,95.82,109.96,291.97,123.52,200.37,167.29,226.14,94.41,299.15,275.79,254.07,135.28,240.64,150.15,277.73,211.11,75.06,222.60,113.78,253.80,38.85,120.02,108.46,123.62,298.08,316.98,157.52,116.17,325.09,299.80,165.75,21.04,186.09,127.64,83.99,116.72,218.83,123.84,48.11,138.60,104.18,240.89,272.99,74.21,60.43,138.84,258.89,50.69,181.36,78.30,131.95,238.81,250.68,218.03,97.31,200.62,245.12,132.83,291.74,128.00,111.76,305.90,130.29,233.09,127.70,122.95,161.67,205.54,91.31,204.36,118.94,298.24,58.47,125.36,199.34,294.39,271.11,96.86,264.95,103.57,105.29,40.48,116.40,146.06,246.26,97.23,222.78,195.08,95.54,61.44,47.45,261.45,295.08,131.72,294.99,279.22,123.97,231.33,59.72,167.26,192.41,143.49,143.07,271.01,132.07,151.78,186.00,91.70,299.17,207.35,32.41,120.05,97.75
Bucheon-si,177.69,21.53,64.67,23.39,62.53,364.38,102.46,,310.31,121.97,254.94,309.60,288.31,71.20,142.68,210.16,100.31,303.75,94.12,229.88,355.72,161.02,235.23,515.28,35.07,167.48,76.98,320.01,231.12,105.14,339.47,17.46,222.80,147.54,47.42,217.14,57.09,257.52,239.72,418.74,43.57,251.23,259.24,92.59,81.27,112.93,54.47,31.24,381.98,232.64,80.54,351.91,355.59,7.40,502.10,221.68,366.35,339.58,315.41,301.17,159.37,335.01,186.99,127.06,165.65,204.77,358.59,7.21,339.16,362.00,459.76,334.03,426.25,435.80,185.92,33.97,276.82,454.62,50.34,378.67,139.01,121.40,358.01,46.51,257.68,167.16,82.05,132.80,211.71,197.95,86.19,526.17,62.90,32.68,75.82,14.91,446.85,363.13,360.77,149.62,350.18,31.58,80.68,60.71,188.28,221.92,33.82,337.28,321.50,45.51,221.74,338.67,100.72,119.25,68.27,76.54,313.30,88.76,413.00,339.65,200.38,258.61,361.79,80.91,16.65,127.84
Busan,146.20,286.70,280.99,281.95,227.47,127.40,265.46,298.74,,190.26,58.34,128.71,38.56,223.03,194.47,153.34,276.48,66.77,261.73,88.69,174.84,160.52,109.35,278.30,341.32,336.44,275.90,57.99,148.16,198.17,87.16,317.49,115.17,183.58,293.44,225.57,254.70,145.74,84.50,181.76,264.93,92.60,134.28,246.69,354.17,280.53,282.13,304.14,145.00,80.20,248.25,171.02,157.76,299.83,265.13,134.36,185.47,158.70,134.52,26.41,175.90,154.13,232.06,284.52,334.61,112.06,121.61,292.95,102.18,109.69,222.78,59.26,189.28,198.82,167.27,334.00,39.07,217.65,292.94,139.26,215.23,181.33,177.12,299.69,132.72,254.55,251.35,226.96,155.76,366.91,224.07,289.19,316.09,275.26,348.72,302.61,209.88,110.82,179.88,318.58,113.21,273.28,353.58,333.61,357.25,206.73,305.14,75.26,24.08,288.37,101.90,157.78,216.11,286.85,316.92,257.04,38.53,237.90,176.02,158.76,222.58,133.65,124.82,353.81,323.42,177.49
Buyeo,207.38,111.07,67.92,115.75,56.10,179.98,53.74,123.10,190.58,,150.33,75.32,166.70,51.66,65.80,214.53,79.36,122.92,322.91,148.69,50.25,221.70,198.34,252.12,155.29,397.63,170.16,200.28,133.66,30.90,145.15,133.79,176.36,36.90,140.04,106.51,143.64,220.63,239.53,155.57,136.18,247.64,222.36,307.88,33.46,341.71,147.65,104.00,114.77,141.39,143.86,46.16,61.15,124.19,238.94,195.54,72.26,58.48,61.39,181.44,48.74,103.92,76.36,87.79,395.80,173.24,100.83,117.32,160.22,167.68,130.89,214.30,126.06,109.81,228.46,150.30,155.64,125.75,142.96,84.22,276.41,12.33,126.92,77.44,220.80,56.52,145.37,288.14,216.95,428.10,52.69,263.00,59.40,125.30,86.69,136.42,144.11,168.81,53.06,379.76,193.13,115.55,107.65,66.48,418.43,267.91,151.74,217.55,201.77,143.99,153.89,57.78,277.30,348.04,163.51,163.09,193.57,152.08,149.83,108.55,89.75,221.73,205.40,48.41,140.06,20.31
